# prefix,country_code,region_code,city,postal
44.30.31.0/24,AU,AU-WA,Perth,
2a14:7c0:4b00::/44,AU,AU-NSW,Sydney,
2a14:7c0:4b00::/48,AU,AU-NSW,Sydney,
2a14:7c0:4b10::/44,AU,AU-VIC,Melbourne,
2a14:7c0:4b20::/44,SG,SG-01,Singapore,
2a14:7c0:4b30::/44,US,US-MO,Kansas City,
2a14:7c0:4b40::/44,DE,DE-HE,Frankfurt,
2a14:7c0:4b50::/44,AU,AU-WA,Perth,
2a14:7c0:4b60::/44,AU,AU-VIC,Melbourne,
2a14:7c0:4b70::/44,SG,SG-01,Singapore,
2a14:7c0:4b80::/44,US,US-MO,Kansas City,
2a14:7c0:4b90::/44,DE,DE-HE,Frankfurt,
2a14:7c0:4ba0::/43,AQ,,,
2a14:7c0:4bc0::/43,AQ,,,
